"name","xcoor","ycoor","zcoor","name_date"
"waterline1",2804059.551,1175265.424,1488.548,"pre"
"waterline2",2804052.935,1175236.748,1488.288,"pre"
"waterline3",2804043.274,1175251.271,1488.28,"pre"
